pygame 2.0.0 (SDL 2.0.12, python 3.8.5)
Hello from the pygame community. https://www.pygame.org/contribute.html
winner is 0
         47353192 function calls (46585617 primitive calls) in 77.424 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       84    0.000    0.000    0.001    0.000 pyparsing.py:3390(__init__)
      191    0.000    0.000    0.001    0.000 enum.py:283(__call__)
   106/82    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 selectors.py:80(BaseSelector)
      582    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      254    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
       60    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      181    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:939(__init__)
      332    0.000    0.000    0.000    0.000 functools.py:64(wraps)
        1    0.000    0.000    0.002    0.002 tokenize.py:1(<module>)
      838    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 colordict.py:21(<module>)
       24    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1252(_path_hooks)
      136    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
       12    0.000    0.000    0.002    0.000 pyparsing.py:2653(__init__)
   131/65    0.000    0.000    0.003    0.000 pyparsing.py:3363(copy)
        5    0.000    0.000    0.000    0.000 {built-in method nt.putenv}
      616    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
       85    0.000    0.000    0.011    0.000 sre_compile.py:598(_code)
     1883    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       68    0.000    0.000    0.058    0.001 {built-in method builtins.next}
      269    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:725(find_spec)
      276    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       28    0.000    0.000    0.000    0.000 ntpath.py:450(normpath)
       47    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
      950    0.000    0.000    0.000    0.000 version.py:490(<lambda>)
       31    0.000    0.000    0.018    0.001 gomoku.py:60(render)
      612    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
       69    0.000    0.000    0.000    0.000 pyparsing.py:2412(__init__)
      274    0.000    0.000    0.000    0.000 function_base.py:419(_needs_add_docstring)
        6    0.000    0.000    0.000    0.000 enum.py:176(<setcomp>)
       85    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
      241    0.000    0.000    0.000    0.000 posixpath.py:41(_get_sep)
       46    0.000    0.000    0.043    0.001 __init__.py:1431(get_metadata_lines)
       59    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
       85    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.001    0.001 getlimits.py:94(_register_known_types)
       51    0.000    0.000    0.000    0.000 enum.py:65(__setitem__)
